nroventa,fechaventa,idcliente,idproducto,idsucursal,tipopago,cantidad,precio,observacion
1,2010-02-01 00:00:00.000,1,1,1,CN,1.0,39900.0,
2,2000-02-04 00:00:00.000,374,37,8,CN,3.0,957000.0,
3,2000-02-06 00:00:00.000,402,34,10,CN,3.0,597000.0,
6,2000-03-29 00:00:00.000,385,13,8,CN,1.0,159900.0,
8,2000-04-15 00:00:00.000,253,40,1,CR,3.0,62970.0,
14,2000-05-21 00:00:00.000,457,33,8,CR,1.0,189000.0,
16,2000-06-01 00:00:00.000,410,37,1,CN,3.0,957000.0,
20,2000-06-18 00:00:00.000,342,16,10,CN,1.0,209000.0,
26,2000-08-02 00:00:00.000,260,29,1,CR,1.0,210000.0,
31,2000-09-08 00:00:00.000,272,33,1,CN,1.0,189000.0,
34,2000-09-20 00:00:00.000,306,15,8,CN,1.0,190000.0,
37,2000-10-14 00:00:00.000,367,38,10,CR,1.0,4990.0,
39,2000-10-30 00:00:00.000,287,32,1,CR,4.0,1036000.0,
41,2000-11-08 00:00:00.000,423,36,10,CR,2.0,718000.0,
47,2000-12-06 00:00:00.000,408,33,8,CN,2.0,378000.0,
52,2001-01-02 00:00:00.000,322,41,10,CR,4.0,120000.0,
58,2001-01-18 00:00:00.000,391,34,10,CN,2.0,398000.0,
62,2001-02-02 00:00:00.000,345,15,8,CN,2.0,380000.0,
64,2001-02-18 00:00:00.000,375,41,8,CR,4.0,120000.0,
66,2001-02-25 00:00:00.000,306,23,8,CR,2.0,281800.0,
67,2001-03-02 00:00:00.000,457,20,8,CR,2.0,221800.0,
72,2001-03-26 00:00:00.000,394,14,1,CN,1.0,200000.0,
78,2001-05-04 00:00:00.000,443,13,10,CR,1.0,159900.0,
81,2001-05-26 00:00:00.000,215,17,10,CR,1.0,229000.0,
82,2001-05-31 00:00:00.000,372,19,1,CR,1.0,300000.0,
87,2001-06-23 00:00:00.000,374,5,1,CN,2.0,90000.0,
90,2001-07-17 00:00:00.000,265,8,1,CN,4.0,519600.0,
99,2001-09-07 00:00:00.000,402,26,1,CN,4.0,724000.0,
100,2001-09-10 00:00:00.000,281,45,1,CN,1.0,32990.0,
105,2001-10-08 00:00:00.000,386,30,1,CR,2.0,480000.0,
107,2001-10-18 00:00:00.000,385,5,1,CR,2.0,90000.0,
112,2001-11-21 00:00:00.000,257,35,1,CR,4.0,876000.0,
116,2001-12-09 00:00:00.000,462,28,8,CN,1.0,190000.0,
119,2001-12-19 00:00:00.000,431,29,8,CR,2.0,420000.0,
125,2002-01-31 00:00:00.000,208,33,1,CR,1.0,189000.0,
126,2002-02-05 00:00:00.000,313,36,10,CR,4.0,1436000.0,
131,2002-02-20 00:00:00.000,457,23,8,CN,1.0,140900.0,
132,2002-02-25 00:00:00.000,364,8,8,CN,4.0,519600.0,
137,2002-03-15 00:00:00.000,278,29,10,CR,2.0,420000.0,
139,2002-03-23 00:00:00.000,394,8,1,CR,4.0,519600.0,
152,2002-06-11 00:00:00.000,392,24,10,CR,2.0,301800.0,
153,2002-06-22 00:00:00.000,216,29,1,CR,3.0,630000.0,
156,2002-07-07 00:00:00.000,217,33,8,CN,2.0,378000.0,
158,2002-07-14 00:00:00.000,433,31,1,CN,3.0,843000.0,
160,2002-08-02 00:00:00.000,268,32,8,CN,2.0,518000.0,
166,2002-09-05 00:00:00.000,201,25,10,CR,2.0,281800.0,
172,2002-10-01 00:00:00.000,333,12,10,CN,4.0,679600.0,
180,2002-10-30 00:00:00.000,287,45,1,CR,1.0,32990.0,
181,2002-11-10 00:00:00.000,239,10,1,CR,2.0,238000.0,
182,2002-11-14 00:00:00.000,372,42,1,CR,2.0,15960.0,
185,2002-12-06 00:00:00.000,366,6,10,CN,2.0,110000.0,
187,2002-12-21 00:00:00.000,421,4,8,CN,2.0,61800.0,
188,2002-12-27 00:00:00.000,374,21,10,CN,2.0,241800.0,
189,2003-01-07 00:00:00.000,469,5,8,CR,1.0,45000.0,
192,2003-02-01 00:00:00.000,201,18,8,CR,1.0,259000.0,
194,2003-02-05 00:00:00.000,372,4,1,CR,3.0,92700.0,
195,2003-02-16 00:00:00.000,292,8,8,CR,4.0,519600.0,
196,2003-02-22 00:00:00.000,226,9,10,CR,4.0,559600.0,
197,2003-03-02 00:00:00.000,421,39,10,CN,3.0,32970.0,
198,2003-03-05 00:00:00.000,336,10,10,CN,1.0,119000.0,
201,2003-03-22 00:00:00.000,4,2,1,CN,2.0,109800.0,
202,2003-03-24 00:00:00.000,3,8,1,CN,4.0,519600.0,
203,2003-03-26 00:00:00.000,304,38,1,CR,2.0,9980.0,
205,2003-04-01 00:00:00.000,355,6,8,CR,2.0,110000.0,
210,2003-05-01 00:00:00.000,445,9,10,CR,3.0,419700.0,
212,2003-05-04 00:00:00.000,386,6,10,CN,2.0,110000.0,
219,2003-06-12 00:00:00.000,433,36,10,CR,1.0,359000.0,
220,2003-06-16 00:00:00.000,226,15,10,CR,4.0,760000.0,
222,2003-06-23 00:00:00.000,421,21,8,CR,1.0,120900.0,
223,2003-07-04 00:00:00.000,355,43,8,CR,4.0,55920.0,
225,2003-07-25 00:00:00.000,281,45,1,CN,1.0,32990.0,
